Filepath,Label
C:/plants/train\Grape___Black_rot\00090b0f-c140-4e77-8d20-d39f67b75fcc___FAM_B.Rot 0376.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\003d09ef-e16c-4e8a-badf-847d46cb3dc0___FAM_B.Rot 3184.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\004175d8-dc74-4285-8401-3cc9565730bb___FAM_B.Rot 0626.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\006efc68-9e46-4168-921c-10ef8065702c___FAM_B.Rot 3470.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\00905d40-bddf-460e-b348-1dbb6a34653b___FAM_B.Rot 0664.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0093ee81-2439-414c-bfb5-a5b6cd6aea72___FAM_B.Rot 3429.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\00cab05d-e87b-4cf6-87d8-284f3ec99626___FAM_B.Rot 3244.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\00cff577-afd4-4e36-ac9c-a52aa6ae5949___FAM_B.Rot 0508.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\012658ed-f0a3-4791-a996-7115dd1e6e3b___FAM_B.Rot 3036.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\017268b1-c25c-4299-a566-1b7ba3f1591e___FAM_B.Rot 3014.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\01d4aa8b-cc91-4475-b80c-b5b0ca10f1f6___FAM_B.Rot 3050.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\02a1df6c-97ec-41d4-b00c-9510741a39dc___FAM_B.Rot 0552.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\02e135dd-a02e-40a5-a049-4b5fa978445c___FAM_B.Rot 3063.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\02f75392-dbad-4ab8-a35d-d391f9d57113___FAM_B.Rot 3323.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\03423777-68b9-430e-9787-fbd776740881___FAM_B.Rot 0346.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\03663632-d350-4f00-92f3-ca6ac2639b22___FAM_B.Rot 5102.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\03a8e589-18ca-4596-8db7-ff1efe9b3b05___FAM_B.Rot 0755.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\03aa3aee-2a42-459d-8fa1-39d88e8a5ced___FAM_B.Rot 3487.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0434878b-1f52-496a-87c6-58647824ee2d___FAM_B.Rot 5035.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\045e07eb-5005-4943-90f2-bd62525b1076___FAM_B.Rot 3524.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\04801745-9457-41fa-97c6-7c9aa769564d___FAM_B.Rot 0367.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\04af92d1-7da1-49a8-aba6-f7110b52a90f___FAM_B.Rot 3546.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\04bd87b8-f596-4ccc-a9c9-6af129535edc___FAM_B.Rot 0578.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\04e6bfe5-ccc3-4888-87bb-780035a243e1___FAM_B.Rot 0577.JPG,Grape___Black_rot
